fecha	hora	mi variable 1	mi variable 2	variable constante 1	variable aleatoria 1	mi variable sinusoidal 1
16-07-2018	11:02:09	1.000000	2.000000	1.000000	9.480049	8.282650
16-07-2018	11:03:09	1.000000	2.000000	1.000000	4.398602	4.776617
16-07-2018	11:04:09	1.000000	2.000000	1.000000	1.961218	2.004200
16-07-2018	11:05:09	1.000000	2.000000	1.000000	2.569773	0.354855
16-07-2018	11:06:09	1.000000	2.000000	1.000000	7.735805	0.060228
16-07-2018	11:07:09	1.000000	2.000000	1.000000	-5.632993	1.161709
16-07-2018	11:08:09	1.000000	2.000000	1.000000	-7.643743	3.504598
16-07-2018	11:09:09	1.000000	2.000000	1.000000	6.449487	6.759832
16-07-2018	11:10:09	1.000000	2.000000	1.000000	-9.992966	10.470126
16-07-2018	11:11:09	1.000000	2.000000	1.000000	-4.087713	14.114407
16-07-2018	11:12:09	1.000000	2.000000	1.000000	4.840921	17.180790
16-07-2018	11:13:09	1.000000	2.000000	1.000000	-2.612368	19.238593
16-07-2018	11:14:09	1.000000	2.000000	1.000000	5.536035	19.998760
16-07-2018	11:15:09	1.000000	2.000000	1.000000	1.500909	19.354538
16-07-2018	11:16:09	1.000000	2.000000	1.000000	0.854228	17.396405
16-07-2018	11:17:09	1.000000	2.000000	1.000000	-8.489467	14.399382
16-07-2018	11:18:09	1.000000	2.000000	1.000000	5.369198	10.784445
16-07-2018	11:19:09	1.000000	2.000000	1.000000	0.319292	7.059326
16-07-2018	11:20:09	1.000000	2.000000	1.000000	4.959905	3.747274
16-07-2018	11:21:09	1.000000	2.000000	1.000000	-9.536180	1.313433
16-07-2018	11:22:09	1.000000	2.000000	1.000000	-7.742077	0.099672
16-07-2018	11:23:09	1.000000	2.000000	1.000000	-0.329710	0.276485
16-07-2018	11:24:09	1.000000	2.000000	1.000000	-2.329125	1.819047
16-07-2018	11:25:09	1.000000	2.000000	1.000000	8.399345	4.510671
16-07-2018	11:26:09	1.000000	2.000000	1.000000	2.115619	7.973333
16-07-2018	11:27:09	1.000000	2.000000	1.000000	7.297218	11.720634
16-07-2018	11:28:09	1.000000	2.000000	1.000000	-9.624904	15.226283
16-07-2018	11:29:09	1.000000	2.000000	1.000000	8.476143	17.997827
16-07-2018	11:30:09	1.000000	2.000000	1.000000	3.419296	19.646038
16-07-2018	11:31:09	1.000000	2.000000	1.000000	7.896564	19.939400
16-07-2018	11:32:09	1.000000	2.000000	1.000000	0.780050	18.836694
16-07-2018	11:33:09	1.000000	2.000000	1.000000	8.302742	16.492818
16-07-2018	11:34:09	1.000000	2.000000	1.000000	-8.685977	13.236979
16-07-2018	11:35:09	1.000000	2.000000	1.000000	3.909849	9.526474
16-07-2018	11:36:09	1.000000	2.000000	1.000000	-3.062528	5.882499
16-07-2018	11:37:09	1.000000	2.000000	1.000000	-8.443233	2.816838
16-07-2018	11:38:09	1.000000	2.000000	1.000000	-8.482177	0.760097
16-07-2018	11:39:09	1.000000	2.000000	1.000000	-6.034461	0.001186
16-07-2018	11:40:09	1.000000	2.000000	1.000000	-1.354126	0.646677
16-07-2018	11:41:09	1.000000	2.000000	1.000000	6.243480	2.605923
16-07-2018	11:42:09	1.000000	2.000000	1.000000	-5.705490	5.603687
16-07-2018	11:43:09	1.000000	2.000000	1.000000	9.238330	9.218975
16-07-2018	11:44:09	1.000000	2.000000	1.000000	9.570751	12.943929
16-07-2018	11:45:09	1.000000	2.000000	1.000000	2.099745	16.255411
16-07-2018	11:46:09	1.000000	2.000000	1.000000	2.049298	18.688279
16-07-2018	11:47:09	1.000000	2.000000	1.000000	-2.991260	19.900814
16-07-2018	11:48:09	1.000000	2.000000	1.000000	-0.915594	19.722713
16-07-2018	11:49:09	1.000000	2.000000	1.000000	2.828516	18.179018
16-07-2018	11:50:09	1.000000	2.000000	1.000000	-9.249663	15.486522
16-07-2018	11:51:09	1.000000	2.000000	1.000000	2.050690	12.023426
16-07-2018	11:52:09	1.000000	2.000000	1.000000	8.474281	8.276106
16-07-2018	11:53:09	1.000000	2.000000	1.000000	-8.288701	4.770915
16-07-2018	11:54:09	1.000000	2.000000	1.000000	-4.955807	2.000183
16-07-2018	11:55:09	1.000000	2.000000	1.000000	-2.126455	0.353095
16-07-2018	11:56:09	1.000000	2.000000	1.000000	2.936353	0.060957
16-07-2018	11:57:09	1.000000	2.000000	1.000000	3.937166	1.164811
16-07-2018	11:58:09	1.000000	2.000000	1.000000	4.056955	3.509641
16-07-2018	11:59:09	1.000000	2.000000	1.000000	-5.262998	6.766067
16-07-2018	12:00:09	1.000000	2.000000	1.000000	7.096936	10.476736
16-07-2018	12:01:09	1.000000	2.000000	1.000000	-7.109007	14.120439
16-07-2018	12:02:09	1.000000	2.000000	1.000000	5.142889	17.185420
16-07-2018	12:03:09	1.000000	2.000000	1.000000	2.792984	19.241137
16-07-2018	12:04:09	1.000000	2.000000	1.000000	4.331803	19.998863
16-07-2018	12:05:09	1.000000	2.000000	1.000000	-1.942644	19.352161
16-07-2018	12:06:09	1.000000	2.000000	1.000000	-4.266894	17.391885
16-07-2018	12:07:09	1.000000	2.000000	1.000000	-5.919565	14.393368
